año,token_principal,ngrama,freq_conjunta
2015,allá,lota,4
2015,allá,nuevas,3
2015,allá,pymes,3
2015,allá,servicios,3
2017,allá,innovación,7
2017,allá,lota,4
2017,allá,nuevas,3
2017,allá,pymes,3
2017,allá,servicios,3
2000,allí,personas,12
2000,allí,allí,8
2000,allí,empresas,8
2000,allí,gregorio,8
2000,allí,lota,8
2002,allí,personas,6
2002,allí,allí,4
2002,allí,empresas,4
2002,allí,gregorio,4
2002,allí,lota,4
2004,allí,personas,12
2004,allí,allí,8
2004,allí,empresas,8
2004,allí,gregorio,8
2004,allí,lota,8
2006,allí,personas,6
2006,allí,allí,4
2006,allí,empresas,4
2006,allí,gregorio,4
2006,allí,lota,4
2017,allí,personas,6
2017,allí,allí,4
2017,allí,empresas,4
2017,allí,gregorio,4
2017,allí,lota,4
2013,alma,capacidad,4
2013,alma,creatividad,4
2013,alma,imaginación,4
2013,alma,libertad,4
2013,alma,viven,3
2018,alma,capacidad,4
2018,alma,creatividad,4
2018,alma,imaginación,4
2018,alma,libertad,4
2018,alma,viven,3
2019,alma,capacidad,4
2019,alma,creatividad,4
2019,alma,imaginación,4
2019,alma,libertad,4
2019,alma,viven,3
2020,alma,capacidad,8
2020,alma,creatividad,8
2020,alma,imaginación,8
2020,alma,libertad,8
2020,alma,viven,6
1996,alrededor,cerca,8
1996,alrededor,pesos,8
1996,alrededor,programas,8
1996,alrededor,área,8
1996,alrededor,ciencia,6
2000,alrededor,cerca,4
2000,alrededor,pesos,4
2000,alrededor,programas,4
2000,alrededor,área,4
2000,alrededor,ciencia,3
2024,alrededor,cerca,8
2024,alrededor,pesos,8
2024,alrededor,programas,8
2024,alrededor,área,8
2024,alrededor,ciencia,6
2000,alta,digital,5
2000,alta,calidad,4
2000,alta,internet,4
2000,alta,velocidad,4
2000,alta,atención,3
2001,alta,digital,5
2001,alta,calidad,4
2001,alta,internet,4
2001,alta,velocidad,4
2001,alta,atención,3
2002,alta,digital,5
2002,alta,calidad,4
2002,alta,internet,4
2002,alta,velocidad,4
2002,alta,atención,3
2004,alta,digital,5
2004,alta,calidad,4
2004,alta,internet,4
2004,alta,velocidad,4
2004,alta,atención,3
2008,alta,digital,5
2008,alta,calidad,4
2008,alta,internet,4
2008,alta,velocidad,4
2008,alta,atención,3
2011,alta,digital,5
2011,alta,calidad,4
2011,alta,internet,4
2011,alta,velocidad,4
2011,alta,atención,3
2012,alta,digital,5
2012,alta,calidad,4
2012,alta,internet,4
2012,alta,velocidad,4
2012,alta,atención,3
2013,alta,digital,5
2013,alta,calidad,4
2013,alta,internet,4
2013,alta,velocidad,4
2013,alta,atención,3
2014,alta,digital,5
2014,alta,calidad,4
2014,alta,internet,4
2014,alta,velocidad,4
2014,alta,atención,3
2015,alta,digital,5
2015,alta,calidad,4
2015,alta,internet,4
2015,alta,velocidad,4
2015,alta,atención,3
2016,alta,digital,5
2016,alta,calidad,4
2016,alta,internet,4
2016,alta,velocidad,4
2016,alta,atención,3
2018,alta,digital,5
2018,alta,calidad,4
2018,alta,internet,4
2018,alta,velocidad,4
2018,alta,atención,3
2023,alta,digital,5
2023,alta,calidad,4
2023,alta,internet,4
2023,alta,velocidad,4
2023,alta,atención,3
2000,alto,vamos,7
2000,alto,desarrollo,4
2000,alto,acceso,3
2000,alto,además,3
2000,alto,cultura,3
2006,alto,vamos,7
2006,alto,desarrollo,4
2006,alto,acceso,3
2006,alto,además,3
2006,alto,cultura,3
2007,alto,vamos,14
2007,alto,desarrollo,8
2007,alto,acceso,6
2007,alto,además,6
2007,alto,cultura,6
2015,alto,vamos,7
2015,alto,desarrollo,4
2015,alto,acceso,3
2015,alto,además,3
2015,alto,cultura,3
2016,alto,vamos,7
2016,alto,desarrollo,4
2016,alto,acceso,3
2016,alto,además,3
2016,alto,cultura,3
2018,alto,vamos,7
2018,alto,desarrollo,4
2018,alto,acceso,3
2018,alto,además,3
2018,alto,cultura,3
2023,alto,vamos,7
2023,alto,desarrollo,4
2023,alto,acceso,3
2023,alto,además,3
2023,alto,cultura,3
2000,alumnos,computador,20
2000,alumnos,cada,16
2000,alumnos,computadores,16
2000,alumnos,además,8
2000,alumnos,básico,8
2001,alumnos,computador,10
2001,alumnos,cada,8
2001,alumnos,computadores,8
2001,alumnos,además,4
2001,alumnos,básico,4
2002,alumnos,computador,20
2002,alumnos,cada,16
2002,alumnos,computadores,16
2002,alumnos,además,8
2002,alumnos,básico,8
2008,alumnos,computador,30
2008,alumnos,cada,24
2008,alumnos,computadores,24
2008,alumnos,además,12
2008,alumnos,básico,12
2009,alumnos,computador,10
2009,alumnos,cada,8
2009,alumnos,computadores,8
2009,alumnos,además,4
2009,alumnos,básico,4
2010,alumnos,computador,10
2010,alumnos,cada,8
2010,alumnos,computadores,8
2010,alumnos,además,4
2010,alumnos,básico,4
2015,alumnos,computador,10
2015,alumnos,cada,8
2015,alumnos,computadores,8
2015,alumnos,además,4
2015,alumnos,básico,4
2017,alumnos,computador,10
2017,alumnos,cada,8
2017,alumnos,computadores,8
2017,alumnos,además,4
2017,alumnos,básico,4
2018,alumnos,computador,10
2018,alumnos,cada,8
2018,alumnos,computadores,8
2018,alumnos,además,4
2018,alumnos,básico,4
2024,alumnos,computador,10
2024,alumnos,cada,8
2024,alumnos,computadores,8
2024,alumnos,además,4
2024,alumnos,básico,4
2009,ambiental,protección,6
2009,ambiental,vamos,6
2009,ambiental,litio,5
2009,ambiental,salares,5
2009,ambiental,santiago,5
2010,ambiental,protección,6
2010,ambiental,vamos,6
2010,ambiental,litio,5
2010,ambiental,salares,5
2010,ambiental,santiago,5
2011,ambiental,protección,6
2011,ambiental,vamos,6
2011,ambiental,litio,5
2011,ambiental,salares,5
2011,ambiental,santiago,5
2018,ambiental,protección,6
2018,ambiental,vamos,6
2018,ambiental,litio,5
2018,ambiental,salares,5
2018,ambiental,santiago,5
2019,ambiental,protección,6
2019,ambiental,vamos,6
2019,ambiental,litio,5
2019,ambiental,salares,5
2019,ambiental,santiago,5
2023,ambiental,protección,6
2023,ambiental,vamos,6
2023,ambiental,litio,5
2023,ambiental,salares,5
2023,ambiental,santiago,5
2024,ambiental,protección,6
2024,ambiental,vamos,6
2024,ambiental,litio,5
2024,ambiental,salares,5
2024,ambiental,santiago,5
2025,ambiental,protección,12
2025,ambiental,vamos,12
2025,ambiental,litio,10
2025,ambiental,salares,10
2025,ambiental,santiago,10
2000,ambiente,medio,8
2000,ambiente,innovación,5
2000,ambiente,nuevas,5
2000,ambiente,tecnologías,4
2000,ambiente,emprendimiento,3
2003,ambiente,medio,8
2003,ambiente,innovación,5
2003,ambiente,nuevas,5
2003,ambiente,tecnologías,4
2003,ambiente,emprendimiento,3
2009,ambiente,medio,8
2009,ambiente,innovación,5
2009,ambiente,nuevas,5
2009,ambiente,tecnologías,4
2009,ambiente,emprendimiento,3
2011,ambiente,medio,8
2011,ambiente,innovación,5
2011,ambiente,nuevas,5
2011,ambiente,tecnologías,4
2011,ambiente,emprendimiento,3
2012,ambiente,medio,8
2012,ambiente,innovación,5
2012,ambiente,nuevas,5
2012,ambiente,tecnologías,4
2012,ambiente,emprendimiento,3
2013,ambiente,medio,8
2013,ambiente,innovación,5
2013,ambiente,nuevas,5
2013,ambiente,tecnologías,4
2013,ambiente,emprendimiento,3
2016,ambiente,medio,8
2016,ambiente,innovación,5
2016,ambiente,nuevas,5
2016,ambiente,tecnologías,4
2016,ambiente,emprendimiento,3
2025,ambiente,medio,16
2025,ambiente,innovación,10
2025,ambiente,nuevas,10
2025,ambiente,tecnologías,8
2025,ambiente,emprendimiento,6
1996,ampliación,además,6
1996,ampliación,digital,6
1996,ampliación,comunas,5
1996,ampliación,estaciones,5
1996,ampliación,metro,5
2006,ampliación,además,6
2006,ampliación,digital,6
2006,ampliación,comunas,5
2006,ampliación,estaciones,5
2006,ampliación,metro,5
2012,ampliación,además,6
2012,ampliación,digital,6
2012,ampliación,comunas,5
2012,ampliación,estaciones,5
2012,ampliación,metro,5
2018,ampliación,además,6
2018,ampliación,digital,6
2018,ampliación,comunas,5
2018,ampliación,estaciones,5
2018,ampliación,metro,5
2019,ampliación,además,6
2019,ampliación,digital,6
2019,ampliación,comunas,5
2019,ampliación,estaciones,5
2019,ampliación,metro,5
2020,ampliación,además,6
2020,ampliación,digital,6
2020,ampliación,comunas,5
2020,ampliación,estaciones,5
2020,ampliación,metro,5
2021,ampliación,además,6
2021,ampliación,digital,6
2021,ampliación,comunas,5
2021,ampliación,estaciones,5
2021,ampliación,metro,5
2022,ampliación,además,6
2022,ampliación,digital,6
2022,ampliación,comunas,5
2022,ampliación,estaciones,5
2022,ampliación,metro,5
2025,ampliación,además,6
2025,ampliación,digital,6
2025,ampliación,comunas,5
2025,ampliación,estaciones,5
2025,ampliación,metro,5
2000,ampliar,digital,34
2000,ampliar,vamos,28
2000,ampliar,modernizar,24
2000,ampliar,además,22
2000,ampliar,ley,20
2004,ampliar,digital,17
2004,ampliar,vamos,14
2004,ampliar,modernizar,12
2004,ampliar,además,11
2004,ampliar,ley,10
2011,ampliar,digital,17
2011,ampliar,vamos,14
2011,ampliar,modernizar,12
2011,ampliar,además,11
2011,ampliar,ley,10
2017,ampliar,digital,17
2017,ampliar,vamos,14
2017,ampliar,modernizar,12
2017,ampliar,además,11
2017,ampliar,ley,10
2018,ampliar,digital,68
2018,ampliar,vamos,56
