source,target,peso
especial,sociedad,9
especialmente,sistema,9
especialmente,vamos,9
establecer,proyecto,9
establecer,vida,9
fibra,submarino,9
fibra,través,9
financiamiento,vamos,9
fortalecer,sistema,9
fuerte,vamos,9
fundamental,ley,9
futuro,innovación,9
futuro,tecnología,9
generación,necesitamos,9
gobiernos,nuevo,9
gobiernos,regionales,9
gobiernos,sistema,9
gobiernos,través,9
hacia,sistema,9
hará,vamos,9
humano,vamos,9
importante,innovación,9
industria,litio,9
infraestructura,pública,9
innovación,mejorar,9
innovación,primer,9
innovación,queremos,9
inteligencia,inteligencia,9
intereses,mejorar,9
internet,servicio,9
inversión,productividad,9
inversión,sistema,9
investigación,tecnología,9
ley,nuevas,9
ley,nuevo,9
ley,público,9
ley,públicos,9
ley,rostro,9
litio,litio,9
litio,vamos,9
lugar,primer,9
lugar,programa,9
línea,personas,9
materia,mejorar,9
materia,permitirá,9
materia,regiones,9
materia,rostro,9
materia,siglo,9
medio,nuevas,9
mejorar,nuevo,9
mejorar,parques,9
mejorar,red,9
modernización,sistema,9
modernizar,mundo,9
modernizar,probidad,9
modernizar,servicio,9
montt,través,9
mundo,potenciar,9
mundo,promover,9
mundo,transparencia,9
naturaleza,sistema,9
nueva,pymes,9
nueva,vida,9
nuevas,nuevas,9
nuevas,pymes,9
nuevo,puerto,9
nuevo,regionales,9
parques,sistema,9
países,tecnología,9
pequeños,región,9
permitirá,proyecto,9
personas,personas,9
personas,santiago,9
precios,promover,9
precios,sociedad,9
primer,vamos,9
prioridad,vamos,9
productividad,trabajo,9
programas,recursos,9
promover,sino,9
promover,sistema,9
protección,salares,9
proyecto,público,9
proyecto,públicos,9
proyecto,rostro,9
proyecto,siglo,9
proyecto,sistema,9
proyecto,transparencia,9
puedan,vamos,9
puerto,submarino,9
público,regiones,9
público,sector,9
público,transporte,9
público,vida,9
públicos,trámites,9
recursos,renovables,9
reforma,reformas,9
regionales,sistema,9
regiones,sistema,9
regiones,transporte,9
regiones,vida,9
región,tecnología,9
revolución,sociedad,9
rostro,siglo,9
rostro,transparencia,9
ruta,sistema,9
servicio,vamos,9
sistema,solamente,9
sistema,tributario,9
social,vamos,9
sólo,tecnología,9
trámites,vamos,9
óptica,submarino,9
óptica,través,9
acceso,prioridad,8
acceso,sistema,8
actual,armadas,8
actual,proyecto,8
actual,vida,8
además,cada,8
además,ciencia,8
además,impulsar,8
además,marcha,8
además,nuevas,8
además,promover,8
además,puerto,8
además,tecnologías,8
administración,vamos,8
aeropuertos,modernizar,8
agenda,materia,8
agricultura,rural,8
agua,sistemas,8
alumnos,cada,8
alumnos,computadores,8
ambiente,medio,8
apoyar,vamos,8
armadas,avanzar,8
armadas,cada,8
armadas,extender,8
armadas,fuerza,8
armadas,intereses,8
armadas,muchas,8
armadas,nueva,8
armadas,parques,8
armadas,públicos,8
armadas,red,8
armadas,respeto,8
armadas,tiempos,8
artificial,artificial,8
artificial,personas,8
artificial,productividad,8
artificial,puede,8
artificial,trabajo,8
asia,fibra,8
asia,óptica,8
atención,mejorar,8
atención,servicios,8
atención,sistema,8
atención,vamos,8
aumentado,innovación,8
aumentar,innovación,8
aumentar,productividad,8
avanzando,puerto,8
avanzar,cada,8
avanzar,campo,8
avanzar,especial,8
avanzar,fuerza,8
avanzar,parques,8
avanzar,solamente,8
aysén,regiones,8
bienes,desarrollo,8
brecha,digital,8
buses,proyecto,8
cable,submarino,8
cada,ciudadanos,8
cada,computador,8
cada,desarrollo,8
cada,recursos,8
calidad,desarrollo,8
calidad,especial,8
calidad,establecer,8
calidad,gasto,8
calidad,hacia,8
calidad,impulsar,8
calidad,innovación,8
calidad,nuevo,8
calidad,profesores,8
calidad,puedan,8
calidad,pública,8
calidad,sectores,8
calidad,trámites,8
campo,cultura,8
campo,vida,8
capacidad,energía,8
capacidad,fuerzas,8
capacidad,innovación,8
centro,desarrollo,8
cerca,programas,8
cerca,través,8
ciencia,investigación,8
ciudadanos,permitirá,8
ciudadanos,servicio,8
civil,proyecto,8
cobre,empresa,8
computadores,digital,8
computadores,profesores,8
comunales,inversiones,8
comunas,estaciones,8
comunas,nuevas,8
comunas,personas,8
comunas,vamos,8
comunidad,desarrollo,8
condiciones,mejores,8
conexión,vamos,8
congreso,mejorar,8
congreso,regiones,8
conocimiento,información,8
consejo,ley,8
consejo,modernizar,8
consejo,transparencia,8
construir,enfermedades,8
contar,ello,8
continente,digital,8
crear,nuevas,8
crecimiento,emprendimiento,8
cultura,cultura,8
datos,modernizar,8
defensa,mejorar,8
dentro,mejorar,8
desafío,digital,8
desarrollo,educación,8
desarrollo,esfuerzo,8
desarrollo,establecer,8
desarrollo,gasto,8
desarrollo,hace,8
desarrollo,importante,8
desarrollo,industria,8
desarrollo,información,8
desarrollo,naturaleza,8
desarrollo,nuevos,8
desarrollo,parques,8
desarrollo,plan,8
desarrollo,prioridad,8
desarrollo,protección,8
desarrollo,público,8
desarrollo,seguir,8
desarrollo,vida,8
digital,potenciar,8
digital,pública,8
digital,públicos,8
digital,red,8
digital,solamente,8
digital,submarino,8
digital,única,8
dos,hace,8
dos,pensiones,8
dólares,innovación,8
economía,mejores,8
economía,tecnología,8
economía,trabajadores,8
economía,trabajo,8
educación,internet,8
educación,sociedad,8
eficacia,ley,8
ello,futuro,8
ello,modernizar,8
ello,proyecto,8
ello,tecnología,8
emprendedores,nuevas,8
emprendimiento,inversión,8
emprendimiento,mejores,8
emprendimiento,trabajadores,8
empresas,tecnologías,8
energía,hacia,8
energías,limpias,8
enfermedades,pacientes,8
enfermedades,terminar,8
enfrentar,vamos,8
enlaces,escuelas,8
enviaremos,ley,8
escuelas,red,8
especial,impulsar,8
especial,servicios,8
establecer,ley,8
establecer,mejorar,8
